round,algo,per_error,abs_error,accuracy,skim_precision,skim_recall,detail_precision,detail_recall,read_precision,read_recall
28,Algo2,0.45142271429041797,2.1551724137931036,0.8293838862559242,0.38095238095238093,0.27586206896551724,0.6,0.3,0.6923076923076923,0.46153846153846156
28,Algo3,0.5260758868824189,2.5517241379310347,0.8341232227488151,0.4782608695652174,0.3793103448275862,0.2,0.1,0.7142857142857143,0.5128205128205128
28,SessionTrainer,0.3516047030347821,2.7413793103448274,0.8199052132701422,0.4117647058823529,0.4827586206896552,0.3333333333333333,0.1,0.6216216216216216,0.5897435897435898
28,SessionCatTrainer,0.0,0.0,0.5213270142180095,0.1891891891891892,0.7241379310344828,,0.0,0.25225225225225223,0.717948717948718
29,LogTrainer,0.3077085149708478,2.218390804597701,0.8767772511848341,0.5714285714285714,0.41379310344827586,1.0,0.7,0.7857142857142857,0.5641025641025641
29,SecondTrainerNoPat,0.2686115691296836,1.5632183908045978,0.8672985781990521,0.5263157894736842,0.3448275862068966,0.875,0.7,0.7777777777777778,0.5384615384615384
29,SecondTrainer,0.25314508121870966,1.5517241379310345,0.8862559241706162,0.6190476190476191,0.4482758620689655,0.8888888888888888,0.8,0.8,0.6153846153846154
29,AlgoTrainerNoPat,0.24751233980121728,1.5689655172413792,0.8957345971563981,0.6666666666666666,0.4827586206896552,1.0,0.7,0.8571428571428571,0.6153846153846154
29,AlgoTrainer,0.23938366487165197,1.5459770114942528,0.8957345971563981,0.6521739130434783,0.5172413793103449,1.0,0.7,0.8333333333333334,0.6410256410256411
29,Algo1,0.44283121027049854,1.971264367816092,0.8246445497630331,0.3333333333333333,0.20689655172413793,0.5714285714285714,0.4,0.68,0.4358974358974359
29,Algo2,0.45142271429041797,2.1551724137931036,0.8293838862559242,0.38095238095238093,0.27586206896551724,0.6,0.3,0.6923076923076923,0.46153846153846156
29,Algo3,0.5260758868824189,2.5517241379310347,0.8341232227488151,0.4782608695652174,0.3793103448275862,0.2,0.1,0.7142857142857143,0.5128205128205128
29,SessionTrainer,0.3604122381581067,2.586206896551724,0.8293838862559242,0.4411764705882353,0.5172413793103449,0.3333333333333333,0.1,0.6486486486486487,0.6153846153846154
29,SessionCatTrainer,0.0,0.0,0.8151658767772512,,0.0,,0.0,,0.0
30,LogTrainer,0.2913320467256662,2.0632183908045976,0.8720379146919431,0.5454545454545454,0.41379310344827586,1.0,0.7,0.7586206896551724,0.5641025641025641
30,SecondTrainerNoPat,0.23130602246281529,1.4252873563218391,0.8957345971563981,0.6666666666666666,0.4827586206896552,1.0,0.8,0.8275862068965517,0.6153846153846154
